name,rating,org_price,offer_price,clean_original_price,clean_offer_price
"Redmi Note 7S (Onyx Black, 64 GB)",4.4,,"₹13,999",,13999.0
"LAVA Blaze Pro (Glass Green, 64 GB)",4.3,"₹12,999","₹10,499",12999.0,10499.0
"OPPO A55 (Rainbow Blue, 128 GB)",4.1,,"₹14,900",,14900.0
"Micromax IN Note 1 (Green, 128 GB)",4.1,"₹16,999","₹10,999",16999.0,10999.0
"realme 2 Pro (Black Sea, 64 GB)",4.5,,"₹13,990",,13990.0
"Redmi 9 (Sporty Orange, 64 GB)",4.2,"₹10,999","₹9,290",10999.0,9290.0
"vivo Y21E (Midnight Blue, 64 GB)",4.2,"₹16,990","₹12,490",16990.0,12490.0
"OPPO A54 (Crystal Black, 128 GB)",4.3,,"₹13,250",,13250.0
"Redmi Note 7S (Onyx Black, 32 GB)",4.4,,"₹11,999",,11999.0
"Redmi Note 6 Pro (Red, 64 GB)",4.5,,"₹15,999",,15999.0
"OPPO A54 (Crystal Black, 128 GB)",4.4,,"₹14,900",,14900.0
"Redmi Note 5 (Black, 32 GB)",4.4,,"₹10,999",,10999.0
"realme Narzo 20 (Victory Blue, 64 GB)",4.3,"₹12,999","₹10,499",12999.0,10499.0
"realme Narzo 20 (Glory Silver, 64 GB)",4.3,"₹12,999","₹10,499",12999.0,10499.0
"MOTOROLA G40 Fusion (Dynamic Gray, 128 GB)",4.2,"₹19,999","₹12,999",19999.0,12999.0
GREENBERRI VIRAT,3.7,"₹1,499",₹799,1499.0,799.0
"OPPO A54 (Moonlight Gold, 128 GB)",4.4,"₹15,990","₹14,480",15990.0,14480.0
"REDMI 11 Prime (Flashy Black, 64 GB)",4.2,"₹14,999","₹11,199",14999.0,11199.0
"Redmi 6 (Black, 64 GB)",4.4,,"₹10,499",,10499.0
GREENBERRI RAFALE,4.0,,₹899,,899.0
"OPPO A 57e (Green, 64 GB)",4.0,"₹16,999","₹13,989",16999.0,13989.0
"Nokia G20 (Dark Blue, 64 GB)",3.9,"₹14,999","₹12,169",14999.0,12169.0
"OPPO A12 (Deep Blue, 64 GB)",4.4,"₹11,990","₹10,990",11990.0,10990.0
Cellecor E3,3.9,"₹1,599","₹1,176",1599.0,1176.0
"realme C15 (Power Blue, 32 GB)",4.3,,"₹11,999",,11999.0
"Redmi Y2 (Blue, 32 GB)",4.5,,"₹10,499",,10499.0
"OPPO A15s (Rainbow Silver, 128 GB)",4.3,"₹14,990","₹13,999",14990.0,13999.0
"realme C12 (Power Blue, 32 GB)",4.4,,"₹10,999",,10999.0
"POCO M2 Pro (Out of the Blue, 64 GB)",4.3,,"₹16,999",,16999.0
"SAMSUNG Galaxy M32 Prime Edition (Light Blue, 64 GB)",4.2,"₹16,999","₹14,399",16999.0,14399.0
"OPPO A54 (Starry Blue, 128 GB)",4.3,"₹14,948","₹14,776",14948.0,14776.0
"OPPO A54 (Crystal Black, 128 GB)",4.4,"₹15,990","₹14,990",15990.0,14990.0
"Redmi 6 (Gold, 64 GB)",4.4,,"₹10,499",,10499.0
"Redmi 10 Prime (Phantom Black, 128 GB)",4.1,"₹16,999","₹13,996",16999.0,13996.0
"POCO M2 Pro (Two Shades of Black, 64 GB)",4.4,,"₹17,999",,17999.0
"realme C15 (Power Blue, 64 GB)",4.4,,"₹12,999",,12999.0
