name,rating,org_price,offer_price,clean_original_price,clean_offer_price
"SAMSUNG Galaxy M13 (Aqua Green, 128 GB)",4.2,"₹17,999","₹13,899",17999.0,13899.0
"REDMI 10 Prime 2022 (Astral White, 64 GB)",4.2,"₹14,999","₹11,990",14999.0,11990.0
"REDMI Note 11S (Polar White, 64 GB)",4.2,"₹19,999","₹14,190",19999.0,14190.0
"vivo Y22 (Metaverse Green, 64 GB)",4.3,"₹17,990","₹14,499",17990.0,14499.0
"Tecno Pova 3 (Tech Silver, 64 GB)",4.3,"₹14,499","₹10,995",14499.0,10995.0
"realme 10 (Clash White, 64 GB)",4.3,"₹15,999","₹13,999",15999.0,13999.0
"MOTOROLA G40 Fusion (Frosted Champagne, 128 GB)",4.2,,"₹19,999",,19999.0
"Tecno Pova 3 (Electric Blue, 64 GB)",4.3,"₹14,499","₹11,990",14499.0,11990.0
"SAMSUNG GALAXY M13 (Aqua Green, 64 GB)",4.2,"₹14,999","₹11,181",14999.0,11181.0
"Infinix Note 12 5G (Snowfall, 64 GB)",4.2,"₹19,999","₹14,999",19999.0,14999.0
"SAMSUNG Galaxy M04 (Light Green, 128 GB)",4.1,"₹13,499","₹9,945",13499.0,9945.0
"MOTOROLA g22 (Iceberg Blue, 64 GB)",3.8,"₹13,999","₹10,999",13999.0,10999.0
"realme 10 (Clash White, 64 GB)",4.3,"₹15,999","₹13,999",15999.0,13999.0
"realme Narzo 50A Prime (Flash Blue, 128 GB)",4.0,"₹14,499","₹11,900",14499.0,11900.0
"realme NARZO 50A PRIME (FLASH BLUE, 64 GB)",4.0,"₹13,499","₹10,874",13499.0,10874.0
"REDMI 10A SPORT (SLATE GREY, 128 GB)",4.0,"₹13,999","₹10,514",13999.0,10514.0
"REDMI 10A SPORT (SEA BLUE, 128 GB)",4.0,"₹13,999","₹10,549",13999.0,10549.0
"SAMSUNG GALAXY M13 (Aqua Green, 64 GB)",4.2,"₹14,999","₹11,181",14999.0,11181.0
